id,area_name,Households,00_10K,10_15K,15_25K,25_35K,35_50K,50_75K,75_100K,100_150K,150_200K,200K_UP,with_internet,dialup_internet,any_broadband,with_cellular_broadband,only_cellular_broadband,cable_broadband,satellite_broadband,no_internet,Population,Hispanic_Latino,Black,White,Asian
1400000US48113015000,"Census Tract 150, Dallas County, Texas",2226,0.068,0.027000000000000003,0.106,0.08,0.23399999999999999,0.264,0.085,0.086,0.032,0.018000000000000002,0.769,0.0,0.769,0.5660000000000001,0.10800000000000001,0.581,0.057,0.231,8209,0.772,0.038,0.152,0.037000000000000005
1400000US48113015100,"Census Tract 151, Dallas County, Texas",1871,0.064,0.022000000000000002,0.065,0.128,0.166,0.243,0.127,0.113,0.04,0.034,0.779,0.006,0.773,0.523,0.059000000000000004,0.635,0.07200000000000001,0.221,6446,0.6759999999999999,0.044000000000000004,0.209,0.040999999999999995
1400000US48113015202,"Census Tract 152.02, Dallas County, Texas",1017,0.052000000000000005,0.028999999999999998,0.192,0.22699999999999998,0.151,0.165,0.076,0.04,0.043,0.025,0.649,0.006,0.643,0.429,0.135,0.43200000000000005,0.019,0.35100000000000003,3589,0.7390000000000001,0.061,0.182,0.003
1400000US48113015204,"Census Tract 152.04, Dallas County, Texas",2271,0.037000000000000005,0.033,0.048,0.079,0.096,0.21,0.225,0.203,0.066,0.004,0.83,0.0,0.83,0.524,0.081,0.7490000000000001,0.018000000000000002,0.17,7729,0.562,0.038,0.322,0.052000000000000005
1400000US48113015205,"Census Tract 152.05, Dallas County, Texas",1138,0.045,0.073,0.174,0.081,0.19899999999999998,0.225,0.126,0.051,0.018000000000000002,0.008,0.723,0.0,0.723,0.491,0.18100000000000002,0.493,0.033,0.27699999999999997,4252,0.7559999999999999,0.06,0.174,0.0
1400000US48113015206,"Census Tract 152.06, Dallas County, Texas",1282,0.052000000000000005,0.009000000000000001,0.055,0.14300000000000002,0.18100000000000002,0.278,0.154,0.071,0.026000000000000002,0.031,0.802,0.008,0.794,0.5660000000000001,0.055,0.7070000000000001,0.044000000000000004,0.198,5118,0.625,0.013000000000000001,0.326,0.03
1400000US48113015303,"Census Tract 153.03, Dallas County, Texas",527,0.008,0.068,0.09699999999999999,0.17300000000000001,0.188,0.294,0.10400000000000001,0.068,0.0,0.0,0.727,0.0,0.727,0.528,0.21100000000000002,0.425,0.08,0.273,2039,0.6940000000000001,0.07200000000000001,0.223,0.004
1400000US48113015304,"Census Tract 153.04, Dallas County, Texas",1165,0.009000000000000001,0.024,0.25,0.11199999999999999,0.07400000000000001,0.18600000000000003,0.114,0.191,0.033,0.008,0.797,0.015,0.7829999999999999,0.5529999999999999,0.185,0.574,0.023,0.203,3721,0.596,0.059000000000000004,0.275,0.059000000000000004
1400000US48113015305,"Census Tract 153.05, Dallas County, Texas",1334,0.031,0.055,0.08199999999999999,0.155,0.17800000000000002,0.139,0.179,0.115,0.031,0.034,0.825,0.0,0.825,0.5529999999999999,0.172,0.621,0.025,0.175,4655,0.69,0.08199999999999999,0.198,0.02
1400000US48113015306,"Census Tract 153.06, Dallas County, Texas",1693,0.054000000000000006,0.06,0.11800000000000001,0.055999999999999994,0.09699999999999999,0.17300000000000001,0.201,0.124,0.08199999999999999,0.035,0.7070000000000001,0.011000000000000001,0.696,0.444,0.026000000000000002,0.629,0.057,0.293,4997,0.35600000000000004,0.09300000000000001,0.326,0.19699999999999998
1400000US48113015401,"Census Tract 154.01, Dallas County, Texas",2866,0.038,0.046,0.026000000000000002,0.069,0.14,0.193,0.135,0.22899999999999998,0.075,0.048,0.8270000000000001,0.017,0.81,0.622,0.146,0.616,0.083,0.17300000000000001,7085,0.35200000000000004,0.16699999999999998,0.42,0.033
1400000US48113015403,"Census Tract 154.03, Dallas County, Texas",1137,0.063,0.046,0.131,0.109,0.125,0.281,0.114,0.073,0.006,0.052000000000000005,0.7659999999999999,0.0,0.7659999999999999,0.495,0.122,0.631,0.04,0.23399999999999999,3345,0.465,0.278,0.21600000000000003,0.0
1400000US48113015404,"Census Tract 154.04, Dallas County, Texas",1486,0.081,0.075,0.106,0.16399999999999998,0.16899999999999998,0.24,0.124,0.026000000000000002,0.015,0.0,0.5920000000000001,0.0,0.5920000000000001,0.39,0.094,0.45399999999999996,0.027999999999999997,0.408,4990,0.579,0.22699999999999998,0.168,0.013000000000000001
